Word,Frequency
THE,341
COMPUTER,253
SCIENCE,189
IS,100
COMPUTING,77
SOFTWARE,71
ENGINEERING,57
INFORMATION,49
THEORY,47
PROGRAMMING,42
DATA,42
COMPUTATIONAL,39
SYSTEMS,39
COMPUTATION,28
AN,28
DESIGN,27
ACM,26
RETRIEVED,25
RESEARCH,24
P,24
ISBN,24
MACHINE,21
DISCIPLINE,20
COMPUTERS,19
PROCESSING,18
WAS,18
LANGUAGE,17
INTELLIGENCE,17
FORMAL,17
SYSTEM,17
COMMUNICATIONS,17
MODEL,17
MATHEMATICAL,16
ARCHITECTURE,15
ALGORITHMS,15
METHODS,15
DEVELOPMENT,15
UNIVERSITY,15
ANALYSIS,15
MATHEMATICS,15
PDF,15
ARCHIVED,15
THEORETICAL,14
HARDWARE,14
SECURITY,14
ARTIFICIAL,14
ARTICLES,14
ARTICLE,14
DIGITAL,14
HISTORY,13
LANGUAGES,13
SCIENTIFIC,13
HAS,13
DOI,13
PRESS,13
AREAS,12
FIELDS,12
LEARNING,12
BEEN,12
SCID,12
PHILOSOPHY,11
INFORMATICS,11
PETER,11
NETWORK,11
ACADEMIC,10
CRYPTOGRAPHY,10
IMAGE,10
WHILE,10
PARADIGMS,10
SOCIAL,10
EDUCATION,10
TERM,10
FIELD,10
PARADIGM,10
DISCIPLINES,9
PROBLEMS,9
GRAPHICS,9
MANAGEMENT,9
AUTOMATED,9
DISTRIBUTED,9
APPLIED,9
MECHANICAL,9
ENGINE,9
QUESTION,9
PROGRAMS,9
ASSOCIATION,9
D,9
FEBRUARY,9
PRACTICAL,8
PROCESSES,8
INTERACTION,8
BABBAGE,8
ALGORITHM,8
NUMERICAL,8
TECHNOLOGY,8
DENNING,8
APRIL,8
B,8
APPLICATIONS,7
FUNDAMENTAL,7
CONSIDERED,7
MEANS,7
DATABASE,7
HUMANCOMPUTER,7
PROCESS,7
TURING,7
CODING,7
CURRICULUM,7
CHARLES,7
CALCULATOR,7
IBM,7
LOGIC,7
IEEE,7
APPLICATION,7
SPRINGER,7
AUGUST,7
OCTOBER,7
COMPLEXITY,6
AUTOMATION,6
IMPLEMENTATION,6
STRUCTURES,6
MODELS,6
NETWORKS,6
EMBEDDED,6
FOUND,6
ORGANIZATION,6
SEARCH,6
S,6
MACHINES,6
COMPUTATIONS,6
ANALYTICAL,6
BECAME,6
WORK,6
PROGRAM,6
STATES,6
SCHOOL,6
USE,6
STATISTICS,6
TESTING,6
SCIENTISTS,6
MODELING,6
STUDIES,6
MACHINERY,6
FORM,6
ELECTRICAL,6
ELECTRONIC,6
LIST,6
PAPERS,6
JUNE,6
DECEMBER,6
ENCYCLOPEDIA,6
LIBRARY,6
OPERATING,5
VISION,5
VIDEO,5
PARALLEL,5
MINING,5
CLASSIFICATION,5
PUNCHED,5
CARDS,5
BABBAGES,5
BUSINESS,5
UNIT,5
SCIENCES,5
NATURE,5
GEORGE,5
PHYSICS,5
ALAN,5
ARGUED,5
EMPIRICAL,5
PROBLEM,5
VERIFICATION,5
SOCIETY,5
X,5
CIRCUIT,5
INTEGRATED,5
OBJECTS,5
LOCATION,5
FUNCTIONAL,5
EVALUATION,5
SEPTEMBER,5
TUCKER,5
MIT,5
MARCH,5
J,5
STANFORD,5
WAYBACK,5
PUBLISHING,5
OUTLINE,4
CATEGORY,4
GEOMETRY,4
FOCUSES,4
PRINCIPLES,4
AIMS,4
CONCURRENT,4
DATABASES,4
NOTES,4
SELECTED,4
BIBLIOGRAPHY,4
GAMES,4
ADA,4
CALCULATING,4
CALLED,4
NUMBER,4
YEARS,4
MAKING,4
RELATIONSHIP,4
CAMBRIDGE,4
DEPARTMENT,4
PROPOSED,4
OTHERS,4
FORSYTHE,4
DEPARTMENTS,4
NAUR,4
SUGGESTED,4
DATALOGY,4
ASTRONOMY,4
DEPLOYMENT,4
BIOLOGY,4
DAVID,4
WAY,4
SEMANTICS,4
BRANCH,4
APPROACHES,4
PERSPECTIVE,4
SPECIFICATION,4
CSAB,4
RESOURCES,4
AUTOMATA,4
SUPPORT,4
TURINGS,4
CONCURRENCY,4
REALITY,4
ORDER,4
QUALITY,4
INSIGHT,4
STATE,4
IMPERATIVE,4
CONFERENCES,4
JULY,4
TURNER,4
ISSN,4
ED,4
E,4
JANUARY,4
TEDRE,4
CRC,4
USES,3
GLOSSARY,3
AREA,3
DISTINCT,3
COMMUNICATION,3
WAYS,3
HUMANS,3
DEVELOPING,3
CONSTRUCTION,3
COMPONENTS,3
EQUIPMENT,3
ENVIRONMENTAL,3
ADAPTATION,3
CANNOT,3
AWARD,3
DISTINCTION,3
ETYMOLOGY,3
VISUALIZATION,3
FINANCE,3
REFERENCES,3
OVERVIEW,3
LITERATURE,3
ENGINES,3
COMPILER,3
CONCEPTS,3
WORLD,3
LOVELACE,3
PUBLISHED,3
INTENDED,3
TASKS,3
WILHELM,3
INVENTED,3
INCLUDED,3
PART,3
ND,3
DESIGNS,3
AIKEN,3
MARK,3
FOUNDED,3
LABORATORY,3
COLUMBIA,3
IBMS,3
DEGREE,3
PURDUE,3
LOUIS,3
CREATION,3
NAME,3
MAJOR,3
INVOLVING,3
JOURNAL,3
EUROPE,3
QUOTATION,3
DIJKSTRA,3
EXAMPLE,3
IDEAS,3
FOCUS,3
EMPHASIS,3
ORIENTATION,3
WORD,3
ALLEN,3
ANSWER,3
REMAINS,3
LAWS,3
ARGUE,3
RELIABILITY,3
CIVIL,3
INSTRUCTIONS,3
REASONING,3
UNDERSTANDING,3
PERFORM,3
COMPUTABILITY,3
PROBABILITY,3
CLAUDE,3
CODES,3
COMPRESSION,3
DETECTION,3
ALGORITHMIC,3
STRUCTURE,3
EFFICIENCY,3
JOURNALS,3
TYPE,3
ORIGINS,3
CONFERENCE,3
REALTIME,3
ACCESS,3
HISTORICAL,3
CIRCUITS,3
SYNTHESIS,3
VIRTUAL,3
SPEECH,3
SPICE,3
CHEMISTRY,3
MAINTENANCE,3
TECHNICAL,3
CURRENT,3
PRINT,3
STRUCTURED,3
STYLE,3
OBJECT,3
PUBLICATIONS,3
STUDENTS,3
CURRICULA,3
INTRODUCTION,3
PJ,3
COMER,3
GRIES,3
MULDER,3
MC,3
AJ,3
PR,3
C,3
HANDBOOK,3
KNUTH,3
DONALD,3
REPOSITORY,3
PIONEER,3
COLLECTION,3
BERNARD,3
NOVEMBER,3
MATTI,3
ELECTRONICS,3
MEYER,3
BERTRAND,3
REFERENCE,3
ENTERPRISE,3
FOUNDATIONS,2
SPANS,2
CONCERNS,2
ABSTRACT,2
INVOLVE,2
STUDYING,2
IMAGES,2
CONSIDERS,2
DESCRIBE,2
INTERACT,2
AIM,2
SYNTHESIZE,2
GOALORIENTATED,2
PROBLEMSOLVING,2
DECISIONMAKING,2
ANIMALS,2
CONTENTS,2
EPISTEMOLOGY,2
DISCOVERIES,2
EXTERNAL,2
LINKS,2
PROFESSIONAL,2
ORGANIZATIONS,2
MISC,2
OPENSOURCE,2
PIONEERS,2
USER,2
INTERFACE,2
WEB,2
EXISTED,2
ANTIQUITY,2
DIVISION,2
PERFORMING,2
SOPHISTICATED,2
SCHICKARD,2
WORKING,2
GOTTFRIED,2
LEIBNIZ,2
SCIENTIST,2
FACT,2
SIMPLIFIED,2
RELIABLE,2
ENVIRONMENT,2
STARTED,2
AUTOMATIC,2
DIFFERENCE,2
PROGRAMMABLE,2
FEATURES,2
CRUCIAL,2
CARD,2
DERIVED,2
NUMBERS,2
DREAM,2
HOWARD,2
I,2
LAB,2
OPERATES,2
BEGAN,2
WORLDS,2
FORMED,2
EFFORTS,2
UNIVERSITIES,2
CREATE,2
STARTING,2
DESPITE,2
AMOUNT,2
NECESSARILY,2
MAINLY,2
DAYS,2
TERMS,2
EG,2
ITALIAN,2
ADOPTED,2
UK,2
DOMAIN,2
EXCHANGE,2
COMPUTERRELATED,2
LINGUISTICS,2
JOHN,2
ISSUE,2
PARNAS,2
PRINCIPAL,2
PROPERTIES,2
ACHIEVE,2
GOALS,2
TEND,2
TYPES,2
HERBERT,2
SIMON,2
EXPERIMENTAL,2
ECONOMICS,2
GEOLOGY,2
UNIQUE,2
OBSERVATION,2
METHOD,2
EXPERIMENTS,2
CONSTRUCTING,2
ANALYZING,2
CLASSIFIED,2
DEFINING,2
EXIST,2
PROPONENTS,2
CLASSIFYING,2
AEROSPACE,2
EDSGER,2
W,2
WEGNER,2
GROUP,2
H,2
EDEN,2
DESCRIBED,2
TREATS,2
LIMITS,2
IMPLEMENTING,2
ACCREDITATION,2
MADE,2
METHODOLOGY,2
ELEMENTS,2
SYMBOLIC,2
SPIRIT,2
EFFICIENT,2
METHODOLOGIES,2
UNDERLYING,2
QUESTIONS,2
TIME,2
NP,2
M,2
DISPLAYSTYLE,2
QUANTUM,2
SHANNON,2
SIGNAL,2
OPERATIONS,2
STUDIED,2
DESIGNING,2
OPTIMIZATION,2
RANDOMIZED,2
DEALS,2
INDIVIDUAL,2
KIND,2
SAFETY,2
ERRORS,2
FRAMEWORK,2
IMPORTANCE,2
BROAD,2
FUNDAMENTALS,2
CALCULI,2
THEOREM,2
AI,2
EXPERTISE,2
MIND,2
COMPONENT,2
SCALE,2
SCHEDULING,2
EVOLUTIONARY,2
REPRESENTATION,2
RECOGNITION,2
ROBOTICS,2
MEMORY,2
ENGINEERS,2
PROCESSOR,2
MULTIPROCESSING,2
UBIQUITOUS,2
DEPENDABILITY,2
INTERPRETER,2
MULTIPLE,2
CONNECTED,2
ACCESSIBILITY,2
ART,2
FUNCTIONS,2
STORE,2
MANIPULATION,2
ANIMATION,2
RENDERING,2
MIXED,2
SOLID,2
MULTIMEDIA,2
VIEW,2
ROLE,2
FAST,2
TRANSFORM,2
UNSOLVED,2
SOCIETIES,2
BUILD,2
SYSTEMATIC,2
PRACTICES,2
DEAL,2
RAPAPORT,2
SAMUEL,2
ACTIONS,2
EVERY,2
EXPRESSED,2
JACOPINIS,2
ONES,2
RULES,2
SELECTION,2
SUCHANDSUCH,2
CASE,2
STATEMENTS,2
COMMANDS,2
OBJECTORIENTED,2
PROCEDURES,2
SERVICES,2
OFFER,2
TASK,2
SCHOOLS,2
AGE,2
CSTA,2
ISRAEL,2
SOUTH,2
KOREA,2
AWARDS,2
BRUCE,2
COLLIER,2
MARKS,2
BERLIN,2
OCLC,2
BOOK,2
CS,2
PATTON,2
PP,2
WILSON,2
DENNIS,2
G,2
INSTITUTE,2
MUSEUM,2
ANTHONY,2
CA,2
COHEN,2
BRIAN,2
RANDELL,2
IBMCOM,2
SHAPING,2
TAYLOR,2
FRANCIS,2
FRANCE,2
SURVEY,2
MINDS,2
DOIS,2
PROGRAMMES,2
TREAT,2
CITESEERX,2
N,2
BOARD,2
REFLECTIONS,2
MEDIA,2
CHICAGO,2
WILEY,2
ANALYTICS,2
CHAPMAN,2
HALLCRC,2
POWER,2
PACKT,2
LTD,2
VIEWPOINT,2
TIMES,2
ZENTRALBLATT,2
MATH,2
VAN,2
LEEUWEN,2
JAN,2
TEACHING,2
TOPIC,2
TIMELY,2
REILLY,2
EDWIN,2
LIBRARIES,2
GERMANY,2
BIBLIOGRAPHIES,2
SITE,2
SERVICE,2
CONFIGURATION,2
REQUIREMENTS,2
COMMONS,2
ARCHAEOLOGY,2
TOPONYMS,2
AGILE,2
UML,2
DISAMBIGUATION,1
SCIENCEPROGRAMMING,1
THEORYCOMPUTATIONAL,1
THEORYARTIFICIAL,1
INTELLIGENCECOMPUTER,1
VTE,1
CLASSES,1
SOLVED,1
SECURE,1
PREVENTING,1
VULNERABILITIES,1
ADDRESS,1
GENERATION,1
REPOSITORIES,1
INVESTIGATES,1
INTERFACES,1
INVESTIGATE,1
DESCRIBES,1
COMPUTEROPERATED,1
TEXTUAL,1
LINGUISTIC,1
CONCERN,1
DETERMINING,1
RECOGNIZED,1
HIGHEST,1
UNIX,1
PROMINENT,1
GENERALPURPOSE,1
CPUS,1
GRAPHICAL,1
INTERNET,1
LAPTOPS,1
COUNTRY,1
BULGARIA,1
EASTERN,1
BLOC,1
POLAND,1
ROMANIA,1
SOVIET,1
UNION,1
YUGOSLAVIA,1
TIMELINE,1
TIMELINES,1
CATEGORYVTE,1
REFERRED,1
FATHER,1
EARLIEST,1
PREDATE,1
INVENTION,1
FIXED,1
ABACUS,1
AIDING,1
MULTIPLICATION,1
CONSTRUCTED,1
DEMONSTRATED,1
STEPPED,1
RECKONER,1
THEORIST,1
REASONS,1
DOCUMENTED,1
BINARY,1
THOMAS,1
COLMAR,1
LAUNCHED,1
INDUSTRYNOTE,1
ARITHMOMETER,1
DAILY,1
OFFICE,1
GAVE,1
IDEA,1
SKETCHED,1
SALIENT,1
STEP,1
ADOPTION,1
JACQUARD,1
LOOM,1
INFINITELY,1
PROGRAMMABLENOTE,1
TRANSLATION,1
WROTE,1
COMPUTE,1
BERNOULLI,1
SPECIFICALLY,1
TAILORED,1
HERMAN,1
HOLLERITH,1
TABULATOR,1
STATISTICAL,1
COMPANY,1
UNAWARE,1
EARLIER,1
PERCY,1
LUDGATE,1
IMPOSSIBLE,1
CONVINCED,1
KINDS,1
GIANT,1
ASCCHARVARD,1
FINISHED,1
HAILED,1
POWERFUL,1
ATANASOFFBERRY,1
ENIAC,1
REFER,1
PREDECESSORS,1
CALCULATIONS,1
BROADENED,1
WATSON,1
CITY,1
RENOVATED,1
FRATERNITY,1
HOUSE,1
MANHATTANS,1
WEST,1
SIDE,1
DEVOTED,1
PURE,1
FORERUNNER,1
FACILITIES,1
ULTIMATELY,1
INSTRUMENTAL,1
EMERGENCE,1
OFFERING,1
ACADEMICCREDIT,1
COURSES,1
DIPLOMA,1
RIGHTSSEE,1
APPEARS,1
FEIN,1
ARGUES,1
GRADUATE,1
ANALOGOUS,1
HARVARD,1
JUSTIFIES,1
ARGUING,1
INTERDISCIPLINARY,1
CHARACTERISTICS,1
TYPICAL,1
ANALYST,1
REWARDED,1
DOES,1
NAMES,1
PREFER,1
EMPHASIZE,1
PRECISELY,1
DANISH,1
REFLECT,1
REVOLVES,1
TREATMENT,1
INSTITUTION,1
COPENHAGEN,1
PROFESSOR,1
SCANDINAVIAN,1
COUNTRIES,1
MULTIDISCIPLINARY,1
PRACTITIONERS,1
ACMTURINGINEER,1
TUROLOGIST,1
FLOWCHARTSMAN,1
METAMATHEMATICIAN,1
EPISTEMOLOGIST,1
MONTHS,1
COMPTOLOGIST,1
FOLLOWED,1
YEAR,1
HYPOLOGIST,1
COMPUTICS,1
CONTRACTED,1
TRANSLATIONS,1
EXPRESSION,1
INFORMAZIONE,1
AUTOMATICA,1
INFORMATIQUE,1
INFORMATIK,1
INFORMATICA,1
DUTCH,1
INFORMTICA,1
SPANISH,1
PORTUGUESE,1
INFORMATIKA,1
SLAVIC,1
HUNGARIAN,1
PLIROFORIKI,1
GREEK,1
WORDS,1
EDINBURGH,1
LINKED,1
CONTEXT,1
FOLKLORIC,1
ATTRIBUTED,1
TOBUT,1
FORMULATED,1
BYEDSGER,1
TELESCOPESNOTE,1
PROVINCE,1
COMMERCIAL,1
INTERSECTS,1
COGNITIVE,1
CLOSER,1
OBSERVERS,1
STRONGLY,1
INFLUENCED,1
MATHEMATICIANS,1
KURT,1
GDEL,1
VON,1
NEUMANN,1
RZSA,1
PTER,1
ALONZO,1
CHURCH,1
CONTINUES,1
INTERCHANGE,1
ALGEBRA,1
CONTENTIOUS,1
MUDDIED,1
DISPUTES,1
DEFINED,1
CUE,1
CLAIMED,1
COMPLEMENTARY,1
FUNDING,1
ASPECTS,1
DEPEND,1
ALIGNMENT,1
BRIDGE,1
EDUCATIONALLY,1
